mean,std,median,min,max
0.020182,0.03452,0.0013945,0,0.2756
0.023134,0.03601,0.004342,0.00034375,0.29005
0.026196,0.037571,0.007759,0.00070056,0.30505
0.029371,0.039204,0.01113,0.0010708,0.32062
0.032661,0.040909,0.014461,0.0014548,0.33676
0.036068,0.042687,0.017801,0.001853,0.3535
0.039595,0.044538,0.021245,0.0022657,0.37085
0.043244,0.046461,0.024669,0.0026932,0.38883
0.047016,0.048455,0.028147,0.0031359,0.40744
0.050912,0.050517,0.031749,0.0035941,0.4267
0.054933,0.052641,0.03541,0.0040681,0.44663
0.059077,0.054821,0.0392,0.0045582,0.46723
0.063344,0.057045,0.042992,0.0050647,0.48853
0.06773,0.059299,0.046871,0.0055879,0.50934
0.072232,0.061561,0.05077,0.0061281,0.5188
0.076844,0.063816,0.054909,0.0066854,0.52559
0.081559,0.066045,0.059147,0.0072602,0.54907
0.086372,0.068227,0.063542,0.0078525,0.57327
0.09127,0.070331,0.06803,0.0084625,0.59802
0.096247,0.072341,0.072565,0.0090905,0.61049
0.10129,0.074245,0.077156,0.0097364,0.62303
0.1064,0.076049,0.081934,0.0104,0.61644
0.11155,0.077749,0.086904,0.011082,0.60968
0.11674,0.079325,0.09181,0.011783,0.63577
0.12196,0.080795,0.096827,0.012501,0.66285
0.1272,0.082183,0.10197,0.013237,0.6906
0.13244,0.083483,0.10723,0.013991,0.71902
0.13766,0.084646,0.11251,0.014762,0.7481
0.14285,0.085685,0.11795,0.015551,0.77785
0.14798,0.086573,0.12315,0.016357,0.78169
0.15302,0.087268,0.1284,0.01718,0.77024
0.15797,0.087809,0.13372,0.01802,0.75855
0.1628,0.088203,0.13905,0.018875,0.74664
0.1675,0.088435,0.14428,0.019747,0.73452
0.17204,0.088533,0.14939,0.020633,0.72218
0.17643,0.088504,0.15464,0.021533,0.70965
0.18064,0.088373,0.15963,0.022448,0.69692
0.18466,0.088154,0.16425,0.023376,0.684
0.18848,0.08787,0.16891,0.024316,0.67091
0.19208,0.087553,0.17337,0.025268,0.65766
0.19547,0.087274,0.17747,0.026231,0.64426
0.19863,0.087061,0.1813,0.027204,0.63072
0.20154,0.086927,0.18493,0.028187,0.61704
0.20418,0.086878,0.18847,0.029177,0.6228
0.20654,0.086926,0.19123,0.030175,0.6441
0.20858,0.087085,0.19382,0.031179,0.66553
0.2103,0.087335,0.19611,0.032189,0.68708
0.21165,0.087643,0.19739,0.033202,0.70872
0.21262,0.087978,0.19869,0.034219,0.73043
0.21318,0.088321,0.19928,0.035239,0.75218
0.21331,0.088567,0.19918,0.036259,0.77396
0.21295,0.088611,0.19834,0.037279,0.79273
0.21215,0.088538,0.197,0.038298,0.77452
0.21096,0.08847,0.1952,0.038371,0.75175
0.20941,0.08847,0.19333,0.037249,0.72905
0.20753,0.088544,0.19088,0.036119,0.70645
0.20532,0.088701,0.18823,0.034985,0.68397
0.20282,0.088953,0.18507,0.033848,0.67074
0.20004,0.089295,0.18172,0.032713,0.6526
0.197,0.089709,0.17816,0.03158,0.66576
0.19371,0.09015,0.17438,0.030453,0.66885
0.19018,0.090577,0.16993,0.029335,0.65905
0.18644,0.090991,0.16521,0.02823,0.65264
0.1825,0.091364,0.16024,0.027138,0.66537
0.17837,0.091676,0.15512,0.026061,0.67793
0.17407,0.091888,0.14993,0.024999,0.69031
0.1696,0.091979,0.1447,0.023954,0.70251
0.16499,0.091946,0.1394,0.022925,0.71451
0.16023,0.091755,0.1341,0.021914,0.7263
0.15536,0.091388,0.12867,0.02092,0.73789
0.15038,0.090864,0.12323,0.019946,0.74925
0.14531,0.090172,0.11804,0.01899,0.7604
0.14017,0.089283,0.11272,0.018054,0.74134
0.13497,0.088175,0.10751,0.017138,0.7516
0.12974,0.086887,0.10235,0.016243,0.76165
0.12448,0.085424,0.097213,0.015367,0.76844
0.11923,0.083812,0.092239,0.014513,0.77799
0.11399,0.082041,0.087317,0.013679,0.78729
0.10879,0.080136,0.08248,0.012866,0.79542
0.10364,0.078107,0.077813,0.012074,0.76423
0.098546,0.075991,0.073235,0.011304,0.73298
0.093529,0.073817,0.068704,0.010554,0.70258
0.088595,0.071591,0.064311,0.0098246,0.67303
0.083749,0.069312,0.060026,0.0091164,0.64432
0.079,0.067001,0.055827,0.0084287,0.61644
0.074352,0.064652,0.0518,0.0077615,0.58939
0.069811,0.062284,0.047765,0.0071144,0.56316
0.065384,0.059921,0.043878,0.0064873,0.53774
0.061074,0.057585,0.040059,0.0058799,0.51341
0.056885,0.05529,0.036381,0.0052918,0.49265
0.052818,0.053045,0.03281,0.0047228,0.47096
0.048875,0.050857,0.029365,0.0041725,0.44999
0.045054,0.048736,0.026008,0.0036406,0.42971
0.041356,0.046685,0.022708,0.0031267,0.41012
0.03778,0.044706,0.019418,0.0026304,0.39121
0.034322,0.042799,0.016213,0.0021513,0.37295
0.030982,0.040965,0.01308,0.001689,0.35533
0.027758,0.039204,0.0098739,0.0012432,0.33834
0.024647,0.037517,0.0066824,0.00081332,0.32195
0.021646,0.035903,0.0034709,0.00039907,0.30616
0.018754,0.034362,0,0,0.29095
