_il,_it,_el,_et,fBD_j2_0.5,fBD_j2_0.75,fBD_j3_0.5,fBD_j3_0.75
0.00174,0.0003965,0.003725,0.00158,0.43504,0.49375,0.63982,0.63982
0.00257,0.0003965,0.003725,0.00158,0.72986,0.55639,0.84287,0.84287
0.0034,0.0003965,0.003725,0.00158,0.57943,0.50917,0.69833,0.69833
0.00257,0.000193,0.003725,0.00158,0.13903,0.10149,0.20169,0.20169
0.00257,0.0006,0.003725,0.00158,0.40252,0.41087,0.58311,0.58311
0.00257,0.0003965,0.0012,0.00158,0.2785,0.18337,0.31559,0.31559
0.00257,0.0003965,0.00625,0.00158,0.26597,0.32269,0.37474,0.37474
0.00257,0.0003965,0.003725,0.0008,0.11646,0.11274,0.16429,0.16429
0.00257,0.0003965,0.003725,0.00236,0.38421,0.45552,0.45366,0.45366
